com.samsung.shealth.tracker.floors_day_summary,6302031,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 04:58:51.025,2024-10-24 04:58:51.025,1,1,eyJR0JcLIT,com.sec.android.app.shealth,33e89e05-c0fd-4e15-800a-53f73f75d4f0,1700956800000,
62810050,,62810050,2024-10-24 04:58:51.040,2024-10-24 04:58:51.040,6,1,eyJR0JcLIT,com.sec.android.app.shealth,1ec07b05-aad7-4454-8d85-a2f4d4ce190c,1718841600000,
62810050,,62810050,2024-10-24 04:58:51.062,2024-10-24 04:58:51.062,12,1,eyJR0JcLIT,com.sec.android.app.shealth,2950596c-c0b0-4b60-a157-96d5d156fd2f,1707868800000,
62810050,,62810050,2024-10-24 04:58:51.089,2024-10-24 04:58:51.089,11,1,eyJR0JcLIT,com.sec.android.app.shealth,a91cd594-4824-4258-9f96-75e2215d94b5,1711324800000,
62810050,,62810050,2024-10-24 04:58:51.103,2024-10-24 04:58:51.103,2,1,eyJR0JcLIT,com.sec.android.app.shealth,5748ef1d-ce6a-4f98-817b-1e70728d2a9d,1704412800000,
62810050,,62810050,2024-10-24 04:58:51.109,2024-10-24 04:58:51.109,7,1,eyJR0JcLIT,com.sec.android.app.shealth,75d751bf-7c8d-4cce-b336-5937ad790098,1693440000000,
62810050,,62810050,2024-10-24 04:58:51.119,2024-10-24 04:58:51.119,5,1,eyJR0JcLIT,com.sec.android.app.shealth,e0108c65-5f69-404e-8bd9-6bbd7cb0fc76,1714780800000,
62810050,,62810050,2024-10-24 04:58:51.135,2024-10-24 04:58:51.135,1,1,eyJR0JcLIT,com.sec.android.app.shealth,a7c09604-9ef4-4b64-9bdb-015fd2c8cb72,1700352000000,
62810050,,62810050,2024-10-24 04:58:51.161,2024-10-24 04:58:51.161,1,1,eyJR0JcLIT,com.sec.android.app.shealth,a19350dd-2569-4c06-8f31-e5caf2543c7f,1689984000000,
62810050,,62810050,2024-10-24 04:58:51.175,2024-10-24 04:58:51.175,2,1,eyJR0JcLIT,com.sec.android.app.shealth,1d52c81c-15d7-4f4a-b2d6-47d5308de598,1719446400000,
62810050,,62820030,2024-11-07 23:24:43.735,2024-10-24 04:58:51.206,5,1,eyJR0JcLIT,com.sec.android.app.shealth,1aa46b79-3fdc-486e-850c-ceb01ae6dc70,1728604800000,
62810050,,62810050,2024-10-24 04:58:51.218,2024-10-24 04:58:51.218,6,1,eyJR0JcLIT,com.sec.android.app.shealth,7eb9e954-2bfa-4ca5-9ff8-8d3462564696,1721692800000,
62810050,,62810050,2024-10-24 04:58:51.228,2024-10-24 04:58:51.228,5,1,eyJR0JcLIT,com.sec.android.app.shealth,b64ea87b-0700-405c-a100-f24706632dd8,1718236800000,
62810050,,62810050,2024-10-24 04:58:51.255,2024-10-24 04:58:51.255,1,1,eyJR0JcLIT,com.sec.android.app.shealth,9367a46c-ff66-4eb5-b18d-bd4a0f8657a9,1701561600000,
62810050,,62810050,2024-10-24 04:58:51.271,2024-10-24 04:58:51.271,10,1,eyJR0JcLIT,com.sec.android.app.shealth,a8b0a6c4-3e89-48f1-bd7d-fe6427f9bcc9,1694649600000,
62810050,,62810050,2024-10-24 04:58:51.289,2024-10-24 04:58:51.289,4,1,eyJR0JcLIT,com.sec.android.app.shealth,32670955-1a39-405a-996e-7d0071e18746,1691193600000,
62810050,,62810050,2024-10-24 04:58:51.296,2024-10-24 04:58:51.296,5,1,eyJR0JcLIT,com.sec.android.app.shealth,41cd27ee-c60e-44b3-b095-ab492d53ab83,1690588800000,
62810050,,62810050,2024-10-24 04:58:51.312,2024-10-24 04:58:51.312,6,1,eyJR0JcLIT,com.sec.android.app.shealth,139ad2bc-d10f-4803-a477-13c7533498ce,1694044800000,
62810050,,62810050,2024-10-24 04:58:51.334,2024-10-24 04:58:51.334,13,1,eyJR0JcLIT,com.sec.android.app.shealth,3504aad6-9dee-41f1-bd8d-be06977a3204,1711929600000,
62810050,,62810050,2024-10-24 04:58:51.351,2024-10-24 04:58:51.351,14,1,eyJR0JcLIT,com.sec.android.app.shealth,19a04522-83c2-4387-8857-8579300fdc9f,1708473600000,
62810050,,62810050,2024-10-24 04:58:51.361,2024-10-24 04:58:51.361,5,1,eyJR0JcLIT,com.sec.android.app.shealth,2cb2ba21-4e85-4801-adb6-4acd6b321985,1693526400000,
62810050,,62810050,2024-10-24 04:58:51.375,2024-10-24 04:58:51.375,9,1,eyJR0JcLIT,com.sec.android.app.shealth,4d377b38-1343-46cf-9153-ef64458d6925,1711411200000,
62810050,,62820030,2024-11-11 21:43:39.135,2024-10-24 04:58:51.391,10,1,eyJR0JcLIT,com.sec.android.app.shealth,d1c7fa5f-2b45-478f-ad31-7a72511781b6,1729296000000,
62810050,,62810050,2024-10-24 04:58:51.400,2024-10-24 04:58:51.400,1,1,eyJR0JcLIT,com.sec.android.app.shealth,2cdef4d4-ea61-4292-8e13-6720e2879114,1690070400000,
62810050,,62810050,2024-10-24 04:58:51.414,2024-10-24 04:58:51.414,1,1,eyJR0JcLIT,com.sec.android.app.shealth,14794c70-be87-4d04-9aa8-e208a52e1d3e,1714867200000,
62810050,,62810050,2024-10-24 04:58:51.438,2024-10-24 04:58:51.438,4,1,eyJR0JcLIT,com.sec.android.app.shealth,acece368-d4b3-4e41-9afc-abd861dde2dc,1718928000000,
62810050,,62810050,2024-10-24 04:58:51.444,2024-10-24 04:58:51.444,3,1,eyJR0JcLIT,com.sec.android.app.shealth,499bc1d9-05de-4319-8a3d-ffc0f22b5fd2,1700438400000,
62810050,,62810050,2024-10-24 04:58:51.451,2024-10-24 04:58:51.451,9,1,eyJR0JcLIT,com.sec.android.app.shealth,0cb139a8-3d77-41bc-865a-2ab928850e25,1707350400000,
62810050,,62810050,2024-10-24 04:58:51.471,2024-10-24 04:58:51.471,13,1,eyJR0JcLIT,com.sec.android.app.shealth,c798ed8b-10c4-48b1-b522-936680ce582b,1710806400000,
62810050,,62810050,2024-10-24 04:58:51.476,2024-10-24 04:58:51.476,4,1,eyJR0JcLIT,com.sec.android.app.shealth,b783c334-bfe3-45ae-a097-46074e38e037,1714262400000,
62810050,,62810050,2024-10-24 04:58:51.496,2024-10-24 04:58:51.496,2,1,eyJR0JcLIT,com.sec.android.app.shealth,d5a4d064-403a-48f1-ac79-40c9b79295ed,1708560000000,
62810050,,62810050,2024-10-24 04:58:51.510,2024-10-24 04:58:51.510,9,1,eyJR0JcLIT,com.sec.android.app.shealth,d9b05551-10dc-4ab1-a8c6-cd1293f097ff,1701648000000,
62810050,,62810050,2024-10-24 04:58:51.538,2024-10-24 04:58:51.538,4,1,eyJR0JcLIT,com.sec.android.app.shealth,d1bd395e-71f4-42c6-becd-e9aee98ed81c,1705104000000,
62810050,,62820030,2024-11-07 23:24:43.591,2024-10-24 04:58:51.571,5,1,eyJR0JcLIT,com.sec.android.app.shealth,f4e358d8-9c3b-4bc1-86ec-2d2d789373d6,1728691200000,
62810050,,62810050,2024-10-24 04:58:52.853,2024-10-24 04:58:52.853,9,1,eyJR0JcLIT,com.sec.android.app.shealth,f0a43691-568a-4199-acc4-9cbdb21ee3af,1712016000000,
62810050,,62810050,2024-10-24 04:58:53.426,2024-10-24 04:58:53.426,3,1,eyJR0JcLIT,com.sec.android.app.shealth,58338753-0ad7-43a8-8526-43baae519fb9,1721779200000,
62810050,,62810050,2024-10-24 04:58:53.499,2024-10-24 04:58:53.499,3,1,eyJR0JcLIT,com.sec.android.app.shealth,baf02251-8942-4f68-b480-69a30ffb2e2c,1718323200000,
62810050,,62810050,2024-10-24 04:58:53.522,2024-10-24 04:58:53.522,8,1,eyJR0JcLIT,com.sec.android.app.shealth,4d2f7e6e-84be-4816-abd9-95b9a9e8e31a,1694131200000,
62810050,,62810050,2024-10-24 04:58:53.533,2024-10-24 04:58:53.533,4,1,eyJR0JcLIT,com.sec.android.app.shealth,740ae3e4-53f9-46df-ad93-541793bc1cd5,1704499200000,
62810050,,62810050,2024-10-24 04:58:53.541,2024-10-24 04:58:53.541,1,1,eyJR0JcLIT,com.sec.android.app.shealth,9ce3f8ca-73af-4eb0-8c2e-ad2c9f262fcc,1707955200000,
62810050,,62810050,2024-10-24 04:58:53.551,2024-10-24 04:58:53.551,12,1,eyJR0JcLIT,com.sec.android.app.shealth,e0c056b8-3690-44f9-b4dd-7126a7ce70f0,1701043200000,
62810050,,62810050,2024-10-24 04:58:53.571,2024-10-24 04:58:53.571,10,1,eyJR0JcLIT,com.sec.android.app.shealth,e0d9f0e8-98c4-4c5a-a2de-175873eee160,1702252800000,
62810050,,62810050,2024-10-24 04:58:53.579,2024-10-24 04:58:53.579,2,1,eyJR0JcLIT,com.sec.android.app.shealth,75339fe9-ba32-46c0-b897-240a40375e9c,1720137600000,
62810050,,62810050,2024-10-24 04:58:53.593,2024-10-24 04:58:53.593,9,1,eyJR0JcLIT,com.sec.android.app.shealth,9e1d5d84-8272-4571-931a-7af9281e84ed,1709164800000,
62810050,,62810050,2024-10-24 04:58:53.615,2024-10-24 04:58:53.615,7,1,eyJR0JcLIT,com.sec.android.app.shealth,ade44fd8-7155-4ba7-90f5-f35b7d8fbfdb,1695340800000,
62810050,,62810050,2024-10-24 04:58:53.632,2024-10-24 04:58:53.632,4,1,eyJR0JcLIT,com.sec.android.app.shealth,91ec1d95-3ea3-4111-b37e-b48dc4346db0,1705708800000,
62810050,,62810050,2024-10-24 20:29:41.762,2024-10-24 04:58:53.642,6,1,eyJR0JcLIT,com.sec.android.app.shealth,0cd4c53f-9d0d-402b-8d66-1494a432498e,1727654400000,
62810050,,62810050,2024-10-24 04:58:53.652,2024-10-24 04:58:53.652,12,1,eyJR0JcLIT,com.sec.android.app.shealth,ff1a18af-aba9-462c-8570-2155154a4e6d,1694736000000,
62810050,,62810050,2024-10-24 04:58:53.671,2024-10-24 04:58:53.671,6,1,eyJR0JcLIT,com.sec.android.app.shealth,4f4f080d-e271-4a7a-b664-a37e5f63aa01,1712620800000,
62810050,,62810050,2024-10-24 04:58:53.690,2024-10-24 04:58:53.690,11,1,eyJR0JcLIT,com.sec.android.app.shealth,e3b48ab3-6fde-466d-a0b1-43950b7fea2b,1716076800000,
62810050,,62810050,2024-10-24 04:58:53.722,2024-10-24 04:58:53.722,2,1,eyJR0JcLIT,com.sec.android.app.shealth,50a6e1a6-17d0-476a-8503-e83142d5f608,1691280000000,
62810050,,62810050,2024-10-24 04:58:53.753,2024-10-24 04:58:53.753,10,1,eyJR0JcLIT,com.sec.android.app.shealth,bd20c069-1de0-4faa-8989-cda64d90777b,1720742400000,
