com.samsung.shealth.report,6302031,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1701579600000,2023-12-10 20:34:53.144,2023-12-10 20:34:53.144,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,835110b8-3d10-47a8-9360-4c744591c55d,835110b8-3d10-47a8-9360-4c744591c55d.compressed_content.json,
America/New_York,1702184400000,2023-12-17 20:43:59.870,2023-12-17 20:43:59.870,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,7070bb6a-6053-42d4-ab29-7206c71c1237,7070bb6a-6053-42d4-ab29-7206c71c1237.compressed_content.json,
America/New_York,1702789200000,2023-12-24 20:37:26.524,2023-12-24 20:37:26.524,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,5872a9ba-056c-434b-ad3a-7942a1bbc93f,5872a9ba-056c-434b-ad3a-7942a1bbc93f.compressed_content.json,
America/New_York,1703394000000,2023-12-31 20:34:58.067,2023-12-31 20:34:58.067,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,c7991a6e-5458-45ed-93b7-2e9e63c7ff30,c7991a6e-5458-45ed-93b7-2e9e63c7ff30.compressed_content.json,
America/New_York,1703998800000,2024-01-07 20:34:41.790,2024-01-07 20:34:41.790,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,0923916c-c266-4d2a-a050-d8a688a0e4a9,0923916c-c266-4d2a-a050-d8a688a0e4a9.compressed_content.json,
America/New_York,1704603600000,2024-01-14 20:42:23.919,2024-01-14 20:42:23.919,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,65db229e-a024-42f9-9220-6e811fb6653a,65db229e-a024-42f9-9220-6e811fb6653a.compressed_content.json,
America/New_York,1705208400000,2024-01-21 20:45:33.617,2024-01-21 20:45:33.617,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,8319a0c6-9689-4d9d-abb9-2cb8cd460d7a,8319a0c6-9689-4d9d-abb9-2cb8cd460d7a.compressed_content.json,
America/New_York,1705813200000,2024-01-28 20:34:46.268,2024-01-28 20:34:46.268,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,57a17797-4a50-49da-a826-3ba44196f044,57a17797-4a50-49da-a826-3ba44196f044.compressed_content.json,
America/New_York,1706418000000,2024-02-04 20:53:25.313,2024-02-04 20:53:25.313,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,165a183a-ed90-4df8-9176-a08d1d690d76,165a183a-ed90-4df8-9176-a08d1d690d76.compressed_content.json,
America/New_York,1707022800000,2024-02-11 20:46:02.876,2024-02-11 20:46:02.876,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,a8ef3a1a-0d14-4ae5-a999-a6a7538d117f,a8ef3a1a-0d14-4ae5-a999-a6a7538d117f.compressed_content.json,
America/New_York,1707627600000,2024-02-18 20:34:43.374,2024-02-18 20:34:43.374,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,8d64025f-83ef-42c7-aac8-0f5bc4b564d5,8d64025f-83ef-42c7-aac8-0f5bc4b564d5.compressed_content.json,
America/New_York,1708232400000,2024-02-25 20:36:04.314,2024-02-25 20:36:04.314,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,4e318400-701a-4bfb-aa57-ff23647d7d0f,4e318400-701a-4bfb-aa57-ff23647d7d0f.compressed_content.json,
America/New_York,1708837200000,2024-03-03 20:42:51.630,2024-03-03 20:42:51.630,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,d795eed3-1267-4687-8c88-6983dd9c6df0,d795eed3-1267-4687-8c88-6983dd9c6df0.compressed_content.json,
America/New_York,1709442000000,2024-03-10 19:36:19.433,2024-03-10 19:36:19.433,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,19eb1555-26d6-4c6b-9d28-1d349e2b83ca,19eb1555-26d6-4c6b-9d28-1d349e2b83ca.compressed_content.json,
America/New_York,1710046800000,2024-03-17 19:34:50.689,2024-03-17 19:34:50.689,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,5a0619b3-a9d9-4f11-820e-a0526cec5c42,5a0619b3-a9d9-4f11-820e-a0526cec5c42.compressed_content.json,
America/New_York,1710648000000,2024-03-24 19:34:57.739,2024-03-24 19:34:57.739,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,792841bb-d13c-4abd-9ab7-99f771669e6a,792841bb-d13c-4abd-9ab7-99f771669e6a.compressed_content.json,
America/New_York,1711252800000,2024-03-31 19:34:54.617,2024-03-31 19:34:54.617,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,fc4484e4-cf84-419d-9d57-8abf0a0f2180,fc4484e4-cf84-419d-9d57-8abf0a0f2180.compressed_content.json,
America/New_York,1711857600000,2024-04-07 19:56:48.674,2024-04-07 19:56:48.674,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,f1daedc4-42c5-4cd7-bd89-81a6dae7a743,f1daedc4-42c5-4cd7-bd89-81a6dae7a743.compressed_content.json,
America/New_York,1712462400000,2024-04-14 19:35:44.694,2024-04-14 19:35:44.694,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,2373711e-ff95-4125-910a-7ebc8d918134,2373711e-ff95-4125-910a-7ebc8d918134.compressed_content.json,
America/New_York,1713067200000,2024-04-21 19:36:48.973,2024-04-21 19:36:48.973,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,0d85c2fd-806c-4f43-a4c6-4c5ff37be93f,0d85c2fd-806c-4f43-a4c6-4c5ff37be93f.compressed_content.json,
America/New_York,1713672000000,2024-04-28 19:34:51.430,2024-04-28 19:34:51.430,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,19017bcd-bcbf-4247-8e8a-2094a2e9dbc4,19017bcd-bcbf-4247-8e8a-2094a2e9dbc4.compressed_content.json,
America/New_York,1714276800000,2024-05-05 19:34:48.140,2024-05-05 19:34:48.140,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,eae194ab-2428-4729-ab40-314cdb561077,eae194ab-2428-4729-ab40-314cdb561077.compressed_content.json,
America/New_York,1714881600000,2024-05-12 19:39:00.657,2024-05-12 19:39:00.657,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,5bfbd3c5-0d84-4a09-9a62-285abeec7a83,5bfbd3c5-0d84-4a09-9a62-285abeec7a83.compressed_content.json,
America/New_York,1715486400000,2024-05-19 19:34:59.770,2024-05-19 19:34:59.770,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,0ecbf4de-10d7-412c-aae5-96f5a631a8b2,0ecbf4de-10d7-412c-aae5-96f5a631a8b2.compressed_content.json,
America/New_York,1716091200000,2024-05-26 19:35:15.750,2024-05-26 19:35:15.750,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,f31a002c-edd2-4b0a-a0cf-31fbc25168c8,f31a002c-edd2-4b0a-a0cf-31fbc25168c8.compressed_content.json,
