com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62970091,2025-05-18 12:00:00.000,,499fee77-71c6-4d6f-a3f5-226c3656949b.binning_data.json,62970091,2025-05-18 13:14:59.229,2025-05-18 13:14:59.229,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 13:00:00.000,499fee77-71c6-4d6f-a3f5-226c3656949b,
62970091,2025-05-18 13:00:00.000,,f714f16e-6cc7-42e8-9e78-2525eed55bfd.binning_data.json,62970091,2025-05-18 14:03:04.654,2025-05-18 14:03:04.654,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 14:00:00.000,f714f16e-6cc7-42e8-9e78-2525eed55bfd,
62980011,2025-05-23 06:00:00.000,,8ebec589-dbb6-43d7-9fcd-803851d9540d.binning_data.json,62980011,2025-05-23 07:15:00.601,2025-05-23 07:15:00.601,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 07:00:00.000,8ebec589-dbb6-43d7-9fcd-803851d9540d,
62980011,2025-05-23 07:00:00.000,,1f011644-da8c-4903-b453-d77044dec701.binning_data.json,62980011,2025-05-23 08:15:00.572,2025-05-23 08:15:00.572,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 08:00:00.000,1f011644-da8c-4903-b453-d77044dec701,
62980011,2025-05-23 08:00:00.000,,9fee78b6-0e5f-4fee-80e6-2872edfb5fe3.binning_data.json,62980011,2025-05-23 09:15:00.395,2025-05-23 09:15:00.395,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 09:00:00.000,9fee78b6-0e5f-4fee-80e6-2872edfb5fe3,
62980011,2025-05-23 09:00:00.000,,703a5590-68ad-431e-967f-1fce9eddb508.binning_data.json,62980011,2025-05-23 10:14:59.254,2025-05-23 10:14:59.254,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 10:00:00.000,703a5590-68ad-431e-967f-1fce9eddb508,
62980011,2025-05-23 10:00:00.000,,f46a156a-691f-42d6-90a2-d493ff7bb2b3.binning_data.json,62980011,2025-05-23 11:15:00.229,2025-05-23 11:15:00.229,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 11:00:00.000,f46a156a-691f-42d6-90a2-d493ff7bb2b3,
62980011,2025-05-23 11:00:00.000,,88afc2b1-59db-43f2-b58f-a52f0fc0fe37.binning_data.json,62980011,2025-05-23 12:10:42.197,2025-05-23 12:10:42.197,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 12:00:00.000,88afc2b1-59db-43f2-b58f-a52f0fc0fe37,
62980011,2025-05-23 12:00:00.000,,2192430e-af79-4bf5-b39d-2b53410088b0.binning_data.json,62980011,2025-05-23 13:15:00.182,2025-05-23 13:15:00.182,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 13:00:00.000,2192430e-af79-4bf5-b39d-2b53410088b0,
62980011,2025-05-23 13:00:00.000,,93084003-87ea-4ecf-95b2-d6569df12ee2.binning_data.json,62980011,2025-05-23 14:10:40.253,2025-05-23 13:42:39.156,UTC-0700,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-23 14:00:00.000,93084003-87ea-4ecf-95b2-d6569df12ee2,
